"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000029981","2018-06-01 11:56:13"
"1398301","Chaise en bois Pacific Acacia l Prix exclusivité Web","20.0000","20.0000","0.0000","0.0000","20.0000","000029985","2018-06-01 13:59:38"
"1296478","Chaise pliante Mats Teck l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000029986","2018-06-01 14:33:12"
"1398265","Fauteuil  Bari l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000029991","2018-06-01 17:27:35"
"1398265","Fauteuil  Bari l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000030010","2018-06-02 04:59:28"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000030028","2018-06-02 06:42:49"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000030029","2018-06-02 06:55:08"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030031","2018-06-02 06:58:08"
"1509757","SMOOZ-Plaid dublin kilt l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030051","2018-06-02 09:33:05"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030051","2018-06-02 09:33:05"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030061","2018-06-02 10:05:10"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030061","2018-06-02 10:05:10"
"1296478","Chaise pliante Mats Teck l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000030062","2018-06-02 10:14:20"
"1398216","Chaise pivoine l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030070","2018-06-02 10:45:29"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","4.0000","0.0000","0.0000","0.0000","0.0000","000030092","2018-06-02 12:10:46"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030121","2018-06-02 14:33:23"
"1398238","Chaise Montebello l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030133","2018-06-02 15:45:03"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030145","2018-06-02 17:22:33"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030162","2018-06-02 20:29:42"
"1398216","Chaise pivoine l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000030163","2018-06-02 20:32:48"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000030171","2018-06-02 21:18:17"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030176","2018-06-02 22:24:23"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000030224","2018-06-03 10:37:28"
"1398251","Fauteuil en résine tressée Lilas l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000030225","2018-06-03 10:43:59"
"1398266","Chaise Bari l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000030280","2018-06-03 14:33:15"
"1398301","Chaise en bois Pacific Acacia l Prix exclusivité Web","3.0000","3.0000","0.0000","0.0000","3.0000","000030286","2018-06-03 14:54:05"
"1398266","Chaise Bari l Prix exclusivité Web","10.0000","10.0000","10.0000","0.0000","10.0000","000030329","2018-06-03 17:26:29"
"1398266","Chaise Bari l Prix exclusivité Web","6.0000","0.0000","0.0000","6.0000","0.0000","000030347","2018-06-03 18:38:33"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","6.0000","0.0000","0.0000","6.0000","0.0000","000030413","2018-06-03 21:30:35"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030425","2018-06-04 07:24:16"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","6.0000","4.0000","0.0000","0.0000","4.0000","000030437","2018-06-04 09:57:06"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030448","2018-06-04 15:30:41"
"1509424","Hippopotame bleu l Prix exclusivité Web","1.0000","0.0000","0.0000","0.0000","0.0000","000030448","2018-06-04 15:30:41"
