attribute_code;options_code;label_marketing;info
1001_CONT;1001_CONT_45;1,7 litre;
1001_CONT;1001_CONT_46;1 litre;
1002_COU;1002_COU_1058;dore/blanc chaud;
1002_COU;1002_COU_1059;argent/blanc;
1002_COU;1002_COU_1060;multicore;
1002_COU;1002_COU_1061;blanc petillant blanc;
1002_COU;1002_COU_1062;leopard;
1002_COU;1002_COU_1006;beige polie;
1002_COU;1002_COU_1007;beige/bronze;
1002_COU;1002_COU_1008;blanc gris polie;
1002_COU;1002_COU_1009;blanc gris/bronze;
1002_COU;1002_COU_1010;blanc gris/indigo;
1002_COU;1002_COU_1011;blanc mat;
1002_COU;1002_COU_1012;bleu électrique;
1002_COU;1002_COU_1013;bleu électrique polie;
1002_COU;1002_COU_1014;bleu électrique/blanc gris;
1002_COU;1002_COU_1015;bleus (turquoise/bleu électrique/blanc gris);
1002_COU;1002_COU_1016;bronze polie;
1002_COU;1002_COU_1017;chêne naturel;
1002_COU;1002_COU_1018;courge;
1002_COU;1002_COU_1019;cuivre polie;
1002_COU;1002_COU_1020;cuivre/beige;
1002_COU;1002_COU_1021;cuivre/blanc gris;
1002_COU;1002_COU_1022;cuivre/bronze;
1002_COU;1002_COU_1023;cyclamen polie;
1002_COU;1002_COU_1024;cyclamen/glycine;
1002_COU;1002_COU_1025;cyclamen/lilas;
1002_COU;1002_COU_1026;cyclamen/violette;
1002_COU;1002_COU_1027;effet vieilli;
1002_COU;1002_COU_1028;glycine polie;
1002_COU;1002_COU_1029;indigo polie;
1002_COU;1002_COU_1030;jaune acide;
1002_COU;1002_COU_1031;jaune acide polie;
1002_COU;1002_COU_1032;jaune acide/vert pomme;
1002_COU;1002_COU_1033;lilas polie;
1002_COU;1002_COU_1034;lilas/glycine;
1002_COU;1002_COU_1035;neutres (cuivre/beige/blanc gris);
1002_COU;1002_COU_1036;noir mat;
1002_COU;1002_COU_1037;orange polie;
1002_COU;1002_COU_1038;orange/jaune acide;
1002_COU;1002_COU_1039;orange/vert pomme;
1002_COU;1002_COU_1040;rouge polie;
1002_COU;1002_COU_1041;rouge/orange;
1002_COU;1002_COU_1042;rouge/turquoise;
1002_COU;1002_COU_1043;rouge/vert pomme;
1002_COU;1002_COU_1044;turquoise polie;
1002_COU;1002_COU_1045;turquoise/blanc gris;
1002_COU;1002_COU_1046;turquoise/bleu éléctrique;
